customer_name,sentiment,csat_score,call_timestamp,reason,city,state,channel,response_time,call duration in minutes,call_center
Evvy Strodder,Very Negative,,10-09-2020,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,18,Los Angeles/CA
Stirling Melonby,Negative,,10-09-2020,Billing Question,Jackson,Mississippi,Web,Within SLA,13,Los Angeles/CA
Casey Leuren,Neutral,8,10/30/2020,Billing Question,Brooklyn,New York,Chatbot,Within SLA,11,Baltimore/MD
Daryl Brockington,Neutral,,10/21/2020,Service Outage,Des Moines,Iowa,Chatbot,Within SLA,34,Chicago/IL
Filippo Lobb,Very Positive,10,10-02-2020,Payments,Athens,Georgia,Call-Center,Within SLA,28,Denver/CO
Shane Edland,Very Positive,10,10/17/2020,Billing Question,Spring,Texas,Email,Below SLA,5,Los Angeles/CA
Burtie Crisford,Very Negative,,10-09-2020,Billing Question,Tucson,Arizona,Call-Center,Within SLA,7,Baltimore/MD
Arabele Clerke,Neutral,,10/28/2020,Service Outage,Austin,Texas,Chatbot,Below SLA,39,Los Angeles/CA
Giustino Kennermann,Very Negative,,10-06-2020,Service Outage,Las Vegas,Nevada,Chatbot,Within SLA,19,Baltimore/MD
Glori Oleksiak,Negative,,10-12-2020,Payments,Jackson,Tennessee,Call-Center,Below SLA,18,Baltimore/MD
Rey Sabatini,Negative,,10-02-2020,Payments,Dallas,Texas,Call-Center,Within SLA,7,Chicago/IL
Brandyn Venneur,Very Positive,,10/24/2020,Payments,Washington,District of Columbia,Call-Center,Within SLA,22,Baltimore/MD
Pierce Gallichan,Negative,,10/23/2020,Billing Question,Philadelphia,Pennsylvania,Web,Above SLA,36,Denver/CO
Chilton Ropars,Neutral,,10/28/2020,Service Outage,Fresno,California,Email,Within SLA,25,Los Angeles/CA
Hayley Asty,Very Negative,3,10-03-2020,Billing Question,Los Angeles,California,Email,Within SLA,27,Baltimore/MD
Kore Whittle,Positive,,10/25/2020,Billing Question,Baton Rouge,Louisiana,Call-Center,Within SLA,26,Los Angeles/CA
Abeu Anwyl,Positive,,10/19/2020,Billing Question,Delray Beach,Florida,Call-Center,Within SLA,5,Los Angeles/CA
Feliks People,Neutral,6,10-12-2020,Payments,White Plains,New York,Call-Center,Within SLA,29,Los Angeles/CA
Shell Duiguid,Negative,,10/23/2020,Billing Question,Peoria,Illinois,Chatbot,Within SLA,31,Denver/CO
Evania Mildner,Neutral,,10/29/2020,Billing Question,Des Moines,Iowa,Chatbot,Above SLA,10,Chicago/IL
Alie Myles,Very Positive,,10/17/2020,Billing Question,Knoxville,Tennessee,Email,Within SLA,23,Los Angeles/CA
Kincaid MacLachlan,Neutral,,10/16/2020,Billing Question,Dallas,Texas,Web,Within SLA,27,Los Angeles/CA
Rutherford Champain,Negative,,10/13/2020,Payments,Anchorage,Alaska,Call-Center,Below SLA,10,Baltimore/MD
Clair Swallow,Neutral,,10/16/2020,Billing Question,Phoenix,Arizona,Email,Above SLA,30,Los Angeles/CA
Westleigh Bentzen,Very Negative,,10-05-2020,Billing Question,Tallahassee,Florida,Web,Above SLA,36,Baltimore/MD
Christophe Rosengart,Positive,,10/16/2020,Billing Question,Saint Paul,Minnesota,Email,Within SLA,8,Los Angeles/CA
Austina Swynfen,Positive,,10/23/2020,Service Outage,Glendale,Arizona,Chatbot,Above SLA,33,Los Angeles/CA
Celestina Tackes,Negative,5,10/26/2020,Billing Question,Cleveland,Ohio,Call-Center,Within SLA,43,Chicago/IL
Oswald Brawson,Positive,,10-07-2020,Billing Question,Cape Coral,Florida,Chatbot,Within SLA,23,Baltimore/MD
Zechariah Ingarfield,Negative,,10/22/2020,Billing Question,Charlotte,North Carolina,Call-Center,Within SLA,25,Chicago/IL
Gussie Vowles,Negative,6,10-03-2020,Service Outage,El Paso,Texas,Chatbot,Above SLA,31,Los Angeles/CA
Felisha Sprowle,Negative,,10-05-2020,Billing Question,Charleston,West Virginia,Call-Center,Within SLA,12,Los Angeles/CA
Lorna Boggish,Very Negative,,10/29/2020,Billing Question,Valdosta,Georgia,Call-Center,Within SLA,40,Los Angeles/CA
Charmion Sopp,Neutral,,10-04-2020,Payments,Jacksonville,Florida,Call-Center,Within SLA,38,Baltimore/MD
Brande Adamini,Neutral,,10/14/2020,Billing Question,New Orleans,Louisiana,Email,Within SLA,17,Baltimore/MD
Karl Woolaston,Positive,,10/17/2020,Service Outage,Tacoma,Washington,Chatbot,Within SLA,31,Denver/CO
Gaven Blandamore,Very Negative,,10-03-2020,Billing Question,Phoenix,Arizona,Chatbot,Within SLA,18,Los Angeles/CA
Pieter Pheasey,Negative,,10-06-2020,Service Outage,San Jose,California,Chatbot,Within SLA,39,Los Angeles/CA
Taddeusz Badcock,Negative,6,10/14/2020,Billing Question,Charlotte,North Carolina,Web,Below SLA,45,Los Angeles/CA
Ellyn McCaskill,Very Positive,10,10/19/2020,Billing Question,Dayton,Ohio,Chatbot,Within SLA,30,Los Angeles/CA
Amargo Eplate,Positive,8,10/21/2020,Billing Question,Washington,District of Columbia,Web,Below SLA,45,Baltimore/MD
Lorrie Spong,Very Negative,,10-11-2020,Billing Question,Charlotte,North Carolina,Chatbot,Within SLA,9,Baltimore/MD
Teodoro Denkin,Positive,,10/19/2020,Billing Question,Dayton,Ohio,Web,Within SLA,34,Los Angeles/CA
Vale Bouette,Neutral,,10-09-2020,Service Outage,Houston,Texas,Chatbot,Within SLA,25,Baltimore/MD
Pren Klus,Neutral,,10-01-2020,Billing Question,New York City,New York,Chatbot,Within SLA,12,Los Angeles/CA
Carola Gummery,Neutral,8,10/28/2020,Billing Question,Philadelphia,Pennsylvania,Web,Within SLA,44,Baltimore/MD
Faina Matyasik,Negative,6,10-05-2020,Billing Question,Roanoke,Virginia,Chatbot,Within SLA,16,Los Angeles/CA
Doloritas enzley,Very Negative,3,10-01-2020,Service Outage,Ocala,Florida,Chatbot,Within SLA,36,Baltimore/MD
Torrie Wann,Negative,,10-04-2020,Billing Question,Lexington,Kentucky,Email,Below SLA,25,Chicago/IL
Fifi Brien,Very Positive,,10/19/2020,Payments,Washington,District of Columbia,Call-Center,Within SLA,18,Denver/CO
Aggie Pennicard,Neutral,,10-06-2020,Billing Question,Springfield,Illinois,Email,Above SLA,8,Chicago/IL
Ailsun Feaks,Negative,,10-04-2020,Billing Question,Salt Lake City,Utah,Chatbot,Within SLA,17,Denver/CO
Fina Hebborn,Negative,,10-10-2020,Billing Question,Austin,Texas,Call-Center,Below SLA,39,Los Angeles/CA
Hazel Sheed,Positive,,10-04-2020,Billing Question,Kent,Washington,Email,Within SLA,10,Los Angeles/CA
Vallie Frusher,Very Negative,,10/23/2020,Payments,Detroit,Michigan,Call-Center,Below SLA,40,Baltimore/MD
Ephrem Sweetland,Neutral,,10-03-2020,Service Outage,Apache Junction,Arizona,Chatbot,Within SLA,16,Baltimore/MD
Ines Cosson,Negative,,10/22/2020,Service Outage,Salem,Oregon,Email,Above SLA,19,Los Angeles/CA
Tildi Perfitt,Neutral,,10/28/2020,Service Outage,Arlington,Virginia,Email,Within SLA,18,Los Angeles/CA
Emmalynn Torry,Neutral,7,10-05-2020,Billing Question,Lehigh Acres,Florida,Call-Center,Within SLA,42,Chicago/IL
Flemming Sullens,Negative,,10/14/2020,Billing Question,Hattiesburg,Mississippi,Email,Within SLA,42,Los Angeles/CA
Rowen Snow,Positive,9,10-09-2020,Payments,Saint Paul,Minnesota,Call-Center,Below SLA,32,Denver/CO
Corbet Baleine,Positive,9,10/14/2020,Payments,Boston,Massachusetts,Call-Center,Within SLA,42,Los Angeles/CA
Kerry Trusslove,Negative,,10-08-2020,Service Outage,Orlando,Florida,Web,Within SLA,20,Baltimore/MD
Boycie Tegler,Very Negative,4,10/15/2020,Billing Question,Winston Salem,North Carolina,Call-Center,Within SLA,37,Chicago/IL
Aurelie Gundry,Positive,,10-11-2020,Billing Question,Lakewood,Washington,Web,Above SLA,11,Los Angeles/CA
Rachelle Gellibrand,Positive,,10-07-2020,Billing Question,Metairie,Louisiana,Web,Within SLA,13,Chicago/IL
Arleta Staniland,Positive,8,10/17/2020,Billing Question,Portland,Oregon,Web,Below SLA,31,Los Angeles/CA
Lucky Paladini,Negative,,10/18/2020,Billing Question,Austin,Texas,Web,Within SLA,28,Chicago/IL
Inga Grenkov,Negative,5,10-06-2020,Billing Question,Richmond,California,Chatbot,Below SLA,43,Los Angeles/CA
Ashla Raffles,Neutral,,10/23/2020,Billing Question,Charlotte,North Carolina,Web,Below SLA,9,Baltimore/MD
Vikky Keune,Very Positive,10,10/26/2020,Billing Question,Lexington,Kentucky,Email,Within SLA,16,Baltimore/MD
Fransisco Oager,Very Negative,,10-11-2020,Service Outage,Bronx,New York,Email,Below SLA,36,Baltimore/MD
Peyter Balogun,Positive,8,10/25/2020,Billing Question,Washington,District of Columbia,Web,Within SLA,13,Baltimore/MD
Cybill Curnok,Neutral,,10-02-2020,Service Outage,Colorado Springs,Colorado,Web,Below SLA,35,Chicago/IL
Marlo Hillin,Very Negative,2,10/25/2020,Billing Question,Fredericksburg,Virginia,Chatbot,Within SLA,6,Los Angeles/CA
Ricky Bonavia,Very Positive,,10/22/2020,Payments,Springfield,Illinois,Call-Center,Within SLA,30,Los Angeles/CA
Feliza Sipson,Negative,,10-10-2020,Service Outage,Troy,Michigan,Email,Within SLA,8,Los Angeles/CA
Cristin Malkinson,Very Positive,,10/29/2020,Billing Question,Fort Wayne,Indiana,Call-Center,Above SLA,16,Chicago/IL
Hilde Clarkin,Negative,,10-05-2020,Billing Question,Corpus Christi,Texas,Web,Below SLA,5,Los Angeles/CA
Orelia Orae,Negative,,10-07-2020,Billing Question,Canton,Ohio,Chatbot,Below SLA,24,Los Angeles/CA
Jenn Brownhill,Neutral,,10-03-2020,Billing Question,Honolulu,Hawaii,Email,Within SLA,28,Los Angeles/CA
Maison Deverose,Negative,,10/30/2020,Billing Question,Shreveport,Louisiana,Chatbot,Above SLA,15,Los Angeles/CA
Gery Portlock,Negative,,10/15/2020,Billing Question,Tulsa,Oklahoma,Call-Center,Within SLA,10,Baltimore/MD
Josey Osinin,Negative,6,10/29/2020,Billing Question,Charleston,West Virginia,Web,Below SLA,36,Chicago/IL
Clarine Moodie,Positive,7,10/23/2020,Billing Question,Tampa,Florida,Chatbot,Below SLA,23,Baltimore/MD
Geri Covelle,Neutral,6,10/30/2020,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,28,Los Angeles/CA
Marga Demicoli,Negative,4,10-11-2020,Billing Question,Burbank,California,Chatbot,Above SLA,37,Chicago/IL
Maxim Scandroot,Neutral,6,10/25/2020,Payments,Dallas,Texas,Call-Center,Within SLA,27,Los Angeles/CA
Nadeen Pittendreigh,Neutral,7,10/27/2020,Billing Question,Lexington,Kentucky,Chatbot,Within SLA,37,Denver/CO
Marrilee McArd,Neutral,5,10-07-2020,Billing Question,Pompano Beach,Florida,Email,Within SLA,11,Los Angeles/CA
Corella Pollicatt,Negative,,10-09-2020,Billing Question,Las Vegas,Nevada,Call-Center,Within SLA,15,Baltimore/MD
Augustina Vockins,Negative,,10-05-2020,Billing Question,Washington,District of Columbia,Web,Below SLA,38,Chicago/IL
Zarah Johann,Negative,4,10/25/2020,Billing Question,Fort Myers,Florida,Web,Within SLA,13,Los Angeles/CA
Redford Ivanishchev,Very Positive,9,10/18/2020,Payments,Roanoke,Virginia,Call-Center,Below SLA,11,Baltimore/MD
Terrill Kick,Neutral,7,10/16/2020,Service Outage,Miami,Florida,Chatbot,Within SLA,32,Baltimore/MD
Keith Krug,Neutral,,10/16/2020,Billing Question,Lincoln,Nebraska,Email,Below SLA,8,Chicago/IL
Alfonso Ardling,Positive,7,10/15/2020,Billing Question,Hartford,Connecticut,Web,Within SLA,29,Los Angeles/CA
Rachele Haville,Neutral,,10/21/2020,Billing Question,San Francisco,California,Call-Center,Within SLA,8,Denver/CO
Joachim Armand,Negative,,10/19/2020,Service Outage,Minneapolis,Minnesota,Chatbot,Below SLA,39,Los Angeles/CA
Kathryn Roof,Very Negative,,10-07-2020,Service Outage,San Francisco,California,Chatbot,Within SLA,24,Baltimore/MD
Lewiss Guillard,Neutral,7,10/24/2020,Service Outage,Peoria,Illinois,Chatbot,Below SLA,24,Los Angeles/CA
Marjy Inmett,Very Positive,,10/15/2020,Billing Question,Fayetteville,North Carolina,Email,Within SLA,27,Baltimore/MD
Vince Archard,Positive,,10/18/2020,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,30,Los Angeles/CA
Rooney Hegg,Negative,4,10-07-2020,Billing Question,Houston,Texas,Call-Center,Above SLA,33,Baltimore/MD
Kimmi Frost,Positive,,10/29/2020,Payments,San Francisco,California,Call-Center,Within SLA,7,Los Angeles/CA
Minnaminnie Dollman,Negative,6,10/29/2020,Billing Question,Tacoma,Washington,Chatbot,Within SLA,20,Los Angeles/CA
Natale Slyne,Neutral,,10/19/2020,Service Outage,Montgomery,Alabama,Chatbot,Above SLA,44,Chicago/IL
Aeriell Croft,Neutral,,10/20/2020,Billing Question,San Francisco,California,Chatbot,Within SLA,30,Los Angeles/CA
Ailyn Langstone,Very Positive,9,10/17/2020,Billing Question,Montgomery,Alabama,Email,Above SLA,15,Baltimore/MD
Tobin Kerss,Positive,,10/14/2020,Billing Question,Fredericksburg,Virginia,Web,Within SLA,25,Baltimore/MD
Bjorn Collingwood,Very Negative,4,10/29/2020,Service Outage,Macon,Georgia,Web,Within SLA,28,Baltimore/MD
Mateo Northcliffe,Negative,,10/13/2020,Billing Question,Glendale,California,Chatbot,Above SLA,33,Baltimore/MD
Hanni Curryer,Negative,,10/15/2020,Billing Question,Peoria,Arizona,Chatbot,Within SLA,9,Baltimore/MD
Hollie Gibbetts,Negative,,10/17/2020,Billing Question,South Bend,Indiana,Web,Within SLA,43,Los Angeles/CA
Murray Calyton,Negative,,10-11-2020,Service Outage,Erie,Pennsylvania,Chatbot,Below SLA,10,Baltimore/MD
Etti Stanmer,Negative,4,10-11-2020,Payments,Sterling,Virginia,Call-Center,Within SLA,25,Chicago/IL
Powell Swainston,Negative,,10-03-2020,Billing Question,Littleton,Colorado,Web,Within SLA,35,Los Angeles/CA
Sanford Cush,Very Positive,,10-10-2020,Billing Question,Louisville,Kentucky,Email,Above SLA,16,Baltimore/MD
Pansie Drydale,Very Positive,10,10/25/2020,Billing Question,Salt Lake City,Utah,Web,Below SLA,44,Chicago/IL
Jandy Haggidon,Very Negative,,10/17/2020,Billing Question,Yakima,Washington,Email,Within SLA,21,Denver/CO
Mimi Simes,Neutral,,10/26/2020,Billing Question,San Antonio,Texas,Email,Within SLA,27,Los Angeles/CA
Sinclare Dimbleby,Positive,,10/29/2020,Billing Question,Tucson,Arizona,Web,Below SLA,40,Los Angeles/CA
Cheston Benedit,Very Negative,,10-02-2020,Billing Question,Fort Pierce,Florida,Chatbot,Below SLA,37,Chicago/IL
Daffy Artus,Positive,,10-10-2020,Billing Question,Philadelphia,Pennsylvania,Email,Below SLA,6,Chicago/IL
Jessamine Guillou,Positive,9,10/22/2020,Payments,Baton Rouge,Louisiana,Call-Center,Within SLA,45,Chicago/IL
Marsha Di Bernardo,Very Positive,9,10/26/2020,Billing Question,Glendale,California,Web,Within SLA,34,Baltimore/MD
Ericka Balog,Very Positive,,10-05-2020,Service Outage,San Francisco,California,Email,Within SLA,16,Los Angeles/CA
Geri Sheard,Very Positive,,10/20/2020,Billing Question,Las Vegas,Nevada,Chatbot,Within SLA,28,Los Angeles/CA
Melisenda Rockey,Very Positive,10,10-05-2020,Billing Question,Cincinnati,Ohio,Web,Above SLA,14,Baltimore/MD
Gleda Bertelmot,Neutral,5,10/24/2020,Billing Question,Peoria,Illinois,Web,Below SLA,37,Los Angeles/CA
Abbie Killwick,Neutral,,10/19/2020,Billing Question,Los Angeles,California,Web,Within SLA,25,Denver/CO
Carlie De Beauchamp,Neutral,,10/25/2020,Billing Question,Indianapolis,Indiana,Email,Within SLA,5,Chicago/IL
Skylar Gippes,Positive,,10/26/2020,Billing Question,New Haven,Connecticut,Call-Center,Within SLA,38,Chicago/IL
Frayda Levermore,Positive,,10/15/2020,Payments,Greenville,South Carolina,Call-Center,Within SLA,24,Baltimore/MD
Seamus Epperson,Negative,4,10/19/2020,Billing Question,Portland,Oregon,Web,Within SLA,14,Baltimore/MD
Joane Givens,Neutral,,10/24/2020,Service Outage,Philadelphia,Pennsylvania,Chatbot,Below SLA,14,Los Angeles/CA
Andrej Malham,Neutral,,10/17/2020,Payments,Ashburn,Virginia,Call-Center,Within SLA,24,Baltimore/MD
Candida Dunridge,Very Positive,,10-09-2020,Billing Question,Joliet,Illinois,Chatbot,Within SLA,28,Chicago/IL
Mischa Haversham,Negative,3,10/28/2020,Billing Question,Berkeley,California,Chatbot,Within SLA,19,Los Angeles/CA
Alastair Hackford,Very Negative,3,10/22/2020,Billing Question,Atlanta,Georgia,Chatbot,Above SLA,30,Baltimore/MD
Kara Cockett,Negative,3,10/30/2020,Service Outage,Jamaica,New York,Email,Within SLA,37,Denver/CO
Aile Beards,Very Negative,,10/21/2020,Service Outage,Newport News,Virginia,Chatbot,Below SLA,23,Los Angeles/CA
Flynn Marchand,Very Positive,9,10-12-2020,Billing Question,Peoria,Arizona,Call-Center,Within SLA,35,Baltimore/MD
Norene Escale,Negative,,10-01-2020,Billing Question,Tampa,Florida,Email,Within SLA,10,Los Angeles/CA
Karney Anfusso,Neutral,,10-01-2020,Billing Question,Memphis,Tennessee,Email,Within SLA,24,Baltimore/MD
Gwenny Pelz,Negative,,10/28/2020,Payments,Erie,Pennsylvania,Call-Center,Below SLA,38,Baltimore/MD
Roley Cheesman,Neutral,,10-02-2020,Billing Question,Billings,Montana,Web,Within SLA,29,Los Angeles/CA
Clovis Innott,Positive,,10/27/2020,Billing Question,Baton Rouge,Louisiana,Call-Center,Within SLA,17,Chicago/IL
Ethe Hammerstone,Negative,3,10-04-2020,Service Outage,Norfolk,Virginia,Web,Above SLA,16,Baltimore/MD
Archibaldo Flaxon,Neutral,,10-05-2020,Billing Question,Rochester,New York,Web,Within SLA,12,Los Angeles/CA
Sandye Burk,Negative,,10/13/2020,Billing Question,Whittier,California,Email,Below SLA,15,Baltimore/MD
Raquel Wellwood,Positive,,10-10-2020,Billing Question,Springfield,Virginia,Web,Above SLA,22,Denver/CO
Erhart Grugerr,Very Positive,9,10/17/2020,Billing Question,Riverside,California,Call-Center,Below SLA,19,Los Angeles/CA
Emalia Bestiman,Negative,,10-07-2020,Payments,Las Vegas,Nevada,Call-Center,Within SLA,42,Chicago/IL
Alix Isaak,Very Positive,,10/14/2020,Service Outage,Huntington,West Virginia,Chatbot,Within SLA,39,Baltimore/MD
Curtice Everix,Negative,,10-03-2020,Billing Question,Washington,District of Columbia,Email,Within SLA,15,Los Angeles/CA
Erl Tenman,Negative,3,10/13/2020,Service Outage,Charlottesville,Virginia,Email,Below SLA,7,Denver/CO
Ulrikaumeko Bytheway,Negative,,10-03-2020,Billing Question,Santa Barbara,California,Web,Below SLA,37,Los Angeles/CA
Rhetta Goater,Very Positive,,10/18/2020,Billing Question,Fort Lauderdale,Florida,Web,Below SLA,26,Los Angeles/CA
Romeo Beekmann,Positive,,10-11-2020,Service Outage,New York City,New York,Chatbot,Within SLA,28,Los Angeles/CA
Phillida Berthelet,Neutral,,10/29/2020,Service Outage,Houston,Texas,Chatbot,Within SLA,11,Los Angeles/CA
Wallis Hutchence,Negative,5,10/13/2020,Billing Question,Miami,Florida,Email,Within SLA,21,Los Angeles/CA
Abner Quartermaine,Negative,,10/24/2020,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,37,Los Angeles/CA
Brnaba Wilmore,Very Negative,3,10/13/2020,Billing Question,Memphis,Tennessee,Web,Within SLA,22,Denver/CO
Kinnie Fidgett,Neutral,,10-04-2020,Billing Question,Shawnee Mission,Kansas,Email,Within SLA,35,Denver/CO
Annelise Hauxley,Negative,,10/16/2020,Service Outage,Kansas City,Missouri,Chatbot,Within SLA,36,Chicago/IL
Susann Leversuch,Neutral,,10/22/2020,Billing Question,Washington,District of Columbia,Email,Within SLA,43,Los Angeles/CA
Lionello Tabram,Very Positive,,10/22/2020,Billing Question,Springfield,Missouri,Chatbot,Within SLA,41,Baltimore/MD
Emelita Roddy,Positive,,10/28/2020,Service Outage,Austin,Texas,Email,Within SLA,37,Baltimore/MD
